battle,win,player_wr,allies_wr,enemies_wr
13,1,0.603360393,0.506113142,0.485060818
15,1,0.564281981,0.492537926,0.514368792
16,1,0.564281981,0.509427218,0.506113449
17,1,0.532153429,0.47197061,0.475379933
18,1,0.564281981,0.485288836,0.481110564
19,1,0.532153429,0.480084628,0.509983762
21,1,0.564281981,0.49833525,0.490384618
22,0,0.532153429,0.482313317,0.48417174
23,1,0.564281981,0.452581057,0.495509794
24,0,0.564281981,0.505289979,0.500390107
25,0,0.532153429,0.4995941,0.491274604
27,1,0.564281981,0.484622904,0.447678206
28,1,0.564281981,0.509630981,0.475120346
29,1,0.564281981,0.53869453,0.495988444
31,1,0.564281981,0.439336994,0.497788759
32,0,0.564281981,0.462289122,0.497717265
33,1,0.532153429,0.487759539,0.515663132
35,1,0.610879332,0.502431034,0.467891236
37,1,0.610879332,0.493974001,0.475272715
38,1,0.610879332,0.511981177,0.495911104
40,1,0.610879332,0.45670261,0.491718995
42,1,0.610879332,0.502480522,0.508409984
43,0,0.610879332,0.488284242,0.526354832
44,1,0.610879332,0.48339979,0.487451903
45,0,0.610879332,0.4673484,0.491190816
46,1,0.456777778,0.52107011,0.517578604
49,1,0.610879332,0.523415335,0.477065178
50,1,0.456777778,0.498529424,0.469698609
60,1,0.620577591,0.49423066,0.506140191
77,0,0.532153429,0.467902844,0.50688532
78,1,0.532153429,0.484191532,0.49408506
79,1,0.532153429,0.513447094,0.495378622
81,1,0.620577591,0.482274483,0.476598656
85,1,0.69889065,0.510286007,0.47687539
92,0,0.532153429,0.501734557,0.523166121
96,1,0.532153429,0.45171438,0.455318388
115,1,0.532153429,0.47897366,0.483363856
116,0,0.522990871,0.483560079,0.50165465
117,1,0.522990871,0.511091734,0.463258907
124,1,0.522990871,0.514069366,0.475573233
126,0,0.522990871,0.510803001,0.487154992
153,0,0.588371443,0.519174462,0.557797292
154,0,0.588371443,0.497797069,0.573213653
156,1,0.588371443,0.498842776,0.520709968
158,1,0.588371443,0.53280466,0.514026253
160,0,0.588371443,0.455552454,0.473234027
161,0,0.588371443,0.487481738,0.518014037
162,0,0.588371443,0.481845032,0.46946906
163,0,0.588371443,0.504539252,0.478661069
164,0,0.588371443,0.512373507,0.521623324
165,0,0.588371443,0.508603363,0.517125463
166,1,0.588371443,0.523286111,0.527951087
167,1,0.588371443,0.483256228,0.475965438
168,1,0.588371443,0.524762941,0.499824495
169,1,0.588371443,0.518594627,0.532627262
170,1,0.588371443,0.518903204,0.506514862
197,1,0.464615201,0.493169394,0.500904618
199,0,0.456777778,0.499701911,0.519088215
205,0,0.588371443,0.472410173,0.49421144
206,0,0.588371443,0.478730228,0.514227629
208,0,0.588371443,0.509339157,0.50057947
209,1,0.588371443,0.472132076,0.550730461
210,0,0.588371443,0.487441076,0.527350684
211,1,0.588371443,0.485221437,0.488940536
212,0,0.588371443,0.445070824,0.485161664
213,0,0.588371443,0.494435743,0.513030816
214,1,0.588371443,0.563515162,0.502588233
215,1,0.588371443,0.522584171,0.461934175
216,1,0.588371443,0.521175314,0.499548081
217,1,0.588371443,0.484749241,0.525385498
218,1,0.588371443,0.496636587,0.471234021
219,0,0.588371443,0.50508702,0.517090534
220,0,0.588371443,0.536310301,0.566671724
221,0,0.588371443,0.50310491,0.485746296
222,0,0.588371443,0.504577114,0.522524432
223,0,0.588371443,0.492946044,0.57260756
225,0,0.588371443,0.488040635,0.509299223
226,0,0.588371443,0.470632116,0.478164069
227,0,0.588371443,0.475634761,0.498351943
228,1,0.588371443,0.492935135,0.561139832
229,1,0.588371443,0.510618799,0.514568809
247,1,0.69889065,0.48873529,0.527940007
252,1,0.588371443,0.517217263,0.478290016
253,0,0.588371443,0.485414656,0.499162451
254,1,0.588371443,0.499881316,0.519383818
255,1,0.588371443,0.474208303,0.50303753
256,1,0.588371443,0.498847554,0.499479442
257,1,0.588371443,0.484037934,0.498603383
258,1,0.588371443,0.500324492,0.488705713
259,1,0.588371443,0.494468096,0.475547422
260,1,0.588371443,0.542545052,0.538365616
261,1,0.588371443,0.493096944,0.485520358
267,0,0.603360393,0.498550851,0.528612479
268,1,0.603360393,0.48961791,0.500203153
271,1,0.620577591,0.468636128,0.487879396
272,1,0.620577591,0.488059742,0.512934821
289,1,0.588371443,0.525381694,0.466928696
290,1,0.532153429,0.47193419,0.499596797
291,1,0.620577591,0.446729324,0.457304607
302,1,0.588371443,0.487610218,0.49910941
305,0,0.564281981,0.490690224,0.49476016
306,1,0.564281981,0.545656219,0.534091581
307,1,0.564281981,0.510892587,0.499295544
309,1,0.564281981,0.468340215,0.459864464
310,1,0.564281981,0.505164942,0.485897635
311,1,0.564281981,0.528638189,0.480627103
313,0,0.564281981,0.468692502,0.48355429
