player_wr,allies_wr,enemies_wr
0.677128632,0.48569015,0.492392403
0.677128632,0.49343587,0.51892617
0.524263432,0.50439736,0.499111475
0.677128632,0.517037746,0.555274852
0.677128632,0.48274569,0.490669885
0.677128632,0.487409293,0.531040513
0.677128632,0.517411743,0.53322395
0.677128632,0.475755104,0.520929802
0.677128632,0.502789612,0.51771851
0.677128632,0.51899956,0.516954292
0.677128632,0.502218981,0.539774324
0.677128632,0.494609724,0.497744969
0.677128632,0.51321813,0.519008414
0.677128632,0.494703894,0.526322337
0.677128632,0.560790986,0.559539251
0.677128632,0.528908974,0.526113
0.677128632,0.509141326,0.535164796
0.677128632,0.483874079,0.511082431
0.53482419,0.528653564,0.545861891
0.53482419,0.514398573,0.508725168
0.53482419,0.538557642,0.52334726
0.677128632,0.507934138,0.533582132
0.53482419,0.476498211,0.509593056
0.553519621,0.544849448,0.531041068
0.677128632,0.512818803,0.528321532
0.677128632,0.475728898,0.518781436
0.677128632,0.48924055,0.50842623
0.677128632,0.507974345,0.512316405
0.677128632,0.514246004,0.536811294
0.538415724,0.473219285,0.496454737
0.677128632,0.499050184,0.513474319
0.677128632,0.507397877,0.528102569
0.677128632,0.521666114,0.52482015
0.677128632,0.504254826,0.517317667
0.677128632,0.491202005,0.493543137
0.677128632,0.481699112,0.485539658
0.677128632,0.46742014,0.479651148
0.677128632,0.480042716,0.494686218
0.677128632,0.48780543,0.490968806
0.686073591,0.491263143,0.552815825
0.606544451,0.498352746,0.535070013
0.606544451,0.493374839,0.484907945
0.606544451,0.510309955,0.50458842
0.606544451,0.498190374,0.505838337
0.606544451,0.494468191,0.531544183
0.512034161,0.44149717,0.465372389
0.465968586,0.502817329,0.476529139
0.467210743,0.508123903,0.495944462
0.53482419,0.478052509,0.481886643
0.522256729,0.504855368,0.489428727
0.522256729,0.522594575,0.525107279
0.522256729,0.569521173,0.563145856
0.522256729,0.530455059,0.510102554
0.522256729,0.552539332,0.533604511
0.522256729,0.523902978,0.51784162
0.522256729,0.508666325,0.493174037
0.522256729,0.53232371,0.546646424
0.522256729,0.479254155,0.508212863
0.522256729,0.530339404,0.592806598
0.522256729,0.515400163,0.535245105
0.522256729,0.492780717,0.495262614
0.563081009,0.509539218,0.501311607
0.563081009,0.493604738,0.505628605
0.563081009,0.523374694,0.529786333
0.563081009,0.51257082,0.496550483
0.563081009,0.526041866,0.54539632
0.563081009,0.530066816,0.538440459
0.563081009,0.502571399,0.537075296
0.563081009,0.495403726,0.499263769
0.563081009,0.490433577,0.523605991
0.563081009,0.512652944,0.535972221
0.543635807,0.487980372,0.518738151
0.617505249,0.488872818,0.523915423
0.744791667,0.499214584,0.528032092
0.617505249,0.497080562,0.509241102
0.603721782,0.54977314,0.564068688
0.744791667,0.478882271,0.506216251
0.677128632,0.518281775,0.539887342
0.677128632,0.479798906,0.504027819
0.529682578,0.498674253,0.513194995
0.677128632,0.488345706,0.508741551
0.677128632,0.48239478,0.519562646
0.677128632,0.482350795,0.487199047
0.677128632,0.494137158,0.527652231
0.677128632,0.514957576,0.521626382
0.677128632,0.492242968,0.531370895
0.677128632,0.464566508,0.478816618
0.677128632,0.4731528,0.502011652
0.677128632,0.481878693,0.487150451
0.677128632,0.500044841,0.508718053
0.677128632,0.503439754,0.503054324
0.677128632,0.525334879,0.527040561
0.677128632,0.478073644,0.500379262
0.677128632,0.509191413,0.558402242
0.677128632,0.478740697,0.523922928
0.677128632,0.480128935,0.526979597
0.677128632,0.47520356,0.505082643
0.677128632,0.47472657,0.522197697
0.677128632,0.49781251,0.525195832
0.677128632,0.4826422,0.507020339
0.677128632,0.503311938,0.530754997
0.677128632,0.500752158,0.544654981
0.677128632,0.466077074,0.500006847
0.677128632,0.521753734,0.523532076
0.679150639,0.535326006,0.558018878
0.679150639,0.496751619,0.513309868
0.679150639,0.525887338,0.524764447
0.679150639,0.561443105,0.57556026
0.679150639,0.468790425,0.504904186
0.679150639,0.561047509,0.578197352
0.679150639,0.528667655,0.548024504
0.679150639,0.502559469,0.530626939
0.679150639,0.502454112,0.516348258
0.679150639,0.533923574,0.541360439
0.679150639,0.496890626,0.503999991
0.679150639,0.494437922,0.501080425
0.679150639,0.520976712,0.531812005
0.600596079,0.485526797,0.526055713
0.679150639,0.49226329,0.514280875
0.679150639,0.516105721,0.514571738
0.679150639,0.493189806,0.510521129
0.679150639,0.480159156,0.496431849
0.679150639,0.492870919,0.537805497
0.476107516,0.54198672,0.530425595
0.584218963,0.516132804,0.517490657
0.493078145,0.48514154,0.43099693
0.564777539,0.560683834,0.537436681
0.608888889,0.506939482,0.51972172
0.564777539,0.495151217,0.502187827
0.564777539,0.496997808,0.492237993
0.564777539,0.532017327,0.528675452
0.564777539,0.521992212,0.511557594
0.564777539,0.48701625,0.520995071
0.564777539,0.521501504,0.524006047
0.564777539,0.509063557,0.530287707
